,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,O*NET-SOC Code,round O*NET-SOC Code
n000001,-2.698320089787355,-9.541365928774772,-1.1278266419974452,6.323653344201023,2.9790631607500835,3.1099059464409846,3.6442846184192823,2.5185421845902964,-3.688192613988993,-0.4127191923226175,-2.485110888100371,-1.2082829476178412,-0.4124909015434746,0.4193045117058859,1.2652695271354828e-15,113031.0,113031.0
n000002,-2.698320089787355,-9.541365928774772,-1.1278266419974452,6.323653344201023,2.9790631607500835,3.1099059464409846,3.6442846184192823,2.5185421845902964,-3.688192613988993,-0.4127191923226175,-2.485110888100371,-1.2082829476178412,-0.4124909015434746,0.4193045117058859,1.2652695271354828e-15,113031.0,113031.0
n000003,-2.698320089787355,-9.541365928774772,-1.1278266419974452,6.323653344201023,2.9790631607500835,3.1099059464409846,3.6442846184192823,2.5185421845902964,-3.688192613988993,-0.4127191923226175,-2.485110888100371,-1.2082829476178412,-0.4124909015434746,0.4193045117058859,1.2652695271354828e-15,113031.0,113031.0
n000004,-2.698320089787355,-9.541365928774772,-1.1278266419974452,6.323653344201023,2.9790631607500835,3.1099059464409846,3.6442846184192823,2.5185421845902964,-3.688192613988993,-0.4127191923226175,-2.485110888100371,-1.2082829476178412,-0.4124909015434746,0.4193045117058859,1.2652695271354828e-15,113031.0,113031.0
n000005,-2.698320089787355,-9.541365928774772,-1.1278266419974452,6.323653344201023,2.9790631607500835,3.1099059464409846,3.6442846184192823,2.5185421845902964,-3.688192613988993,-0.4127191923226175,-2.485110888100371,-1.2082829476178412,-0.4124909015434746,0.4193045117058859,1.2652695271354828e-15,113031.0,113031.0
n000006,-2.698320089787355,-9.541365928774772,-1.1278266419974452,6.323653344201023,2.9790631607500835,3.1099059464409846,3.6442846184192823,2.5185421845902964,-3.688192613988993,-0.4127191923226175,-2.485110888100371,-1.2082829476178412,-0.4124909015434746,0.4193045117058859,1.2652695271354828e-15,113031.0,113031.0
n000007,-2.698320089787355,-9.541365928774772,-1.1278266419974452,6.323653344201023,2.9790631607500835,3.1099059464409846,3.6442846184192823,2.5185421845902964,-3.688192613988993,-0.4127191923226175,-2.485110888100371,-1.2082829476178412,-0.4124909015434746,0.4193045117058859,1.2652695271354828e-15,113031.0,113031.0
n000008,-2.698320089787355,-9.541365928774772,-1.1278266419974452,6.323653344201023,2.9790631607500835,3.1099059464409846,3.6442846184192823,2.5185421845902964,-3.688192613988993,-0.4127191923226175,-2.485110888100371,-1.2082829476178412,-0.4124909015434746,0.4193045117058859,1.2652695271354828e-15,113031.0,113031.0
n000009,-2.698320089787355,-9.541365928774772,-1.1278266419974452,6.323653344201023,2.9790631607500835,3.1099059464409846,3.6442846184192823,2.5185421845902964,-3.688192613988993,-0.4127191923226175,-2.485110888100371,-1.2082829476178412,-0.4124909015434746,0.4193045117058859,1.2652695271354828e-15,113031.0,113031.0
n000010,-2.698320089787355,-9.541365928774772,-1.1278266419974452,6.323653344201023,2.9790631607500835,3.1099059464409846,3.6442846184192823,2.5185421845902964,-3.688192613988993,-0.4127191923226175,-2.485110888100371,-1.2082829476178412,-0.4124909015434746,0.4193045117058859,1.2652695271354828e-15,113031.0,113031.0
